Gene Name	DESeq2 Basemean	log2 Fold Change	lfcSE	Adjusted p‑value	S1-5h FPM	S2-5h FPM	S3-16h FPM	S4-16h FPM	Function (VOCS)	Gene Type
A104R	12412.91	7.34	0.31	5.53E-121	105.3	198.7	27948.49	21399.14	Histone-like structural protein, IHF-like DNA-binding protein	Late
A118R	80.86	7.91	1.46	6.87E-08	0	0	191.18	132.28	Uncharacterised	Late
A125L	3181.56	-3.26	0.2	1.13E-57	6066.26	5457.26	517.16	685.55	MGF 360-9L	Early
A137R	72167.18	7.48	0.6	1.91E-35	492.67	1117.71	164442.3	122616.06	p11.5	Late
A151R	78164.82	-3.41	0.16	2.37E-94	145808.39	139901.71	15031.84	11917.33	CXXC-motif containing protein	Early
A179L	11468.43	-3.89	0.08	0.00E+00	22027.33	20938.42	1434.09	1473.87	bcl-2-bax homolog	Early
A224L	3487.03	4.68	0.25	1.21E-80	259.5	262.57	7717.58	5708.46	IAP homolog	Late
A238L	4120.89	-4.18	0.19	3.13E-112	8089.6	7533.01	375.82	485.12	IkB-like protein	Early
A240L	2427.65	-6.89	1.15	2.24E-09	5073.39	4556	10.89	70.3	Thymidylate kinase	Early
A276R	6897.81	-5	0.14	3.12E-263	14479.3	12277.06	429.74	405.16	MGF 360-15R	Early
A280R	5044.4	-3.03	0.12	2.44E-141	9300.6	8679.1	1153.59	1044.29	MGF 505-3R	Early
A489R	243.66	6.46	0.84	1.74E-14	3.76	7.1	490.47	473.31	MGF 505-2R	Late
A498R	734.79	-4.82	0.14	8.70E-248	1447.93	1390.93	50.38	49.91	MGF 505-5R	Early
A505R	268.97	-2.22	0.15	8.20E-51	417.46	468.37	96.95	93.11	MGF 505-4R	Early
A506R	1651.43	-3.48	0.15	8.38E-117	3294.51	2767.66	268.79	274.76	MGF 505-9R	Early
A528R	1318.63	-3.1	0.16	4.19E-81	2598.75	2125.42	274.78	275.56	MGF 505-6R/7R	Early
