Genome	ORF start	ORF stop	Strand 	Gene	Early TSS	Late TSS	Distance Early vs Late TSS	Early UTR length	Late UTR length	Max UTR length	Expression Stage
FR682468.1	10075	10359	-	285L	10405	10405	0	46	46	46	Early
FR682468.1	48675	49127	+	A151R	48672	48672	0	3	3	3	Early
FR682468.1	53779	54318	-	A179L	54331	54331	0	13	13	13	Early
FR682468.1	50471	51151	-	A238L	51183	51183	0	32	32	32	Early
FR682468.1	47654	48364	-	A240L	48371	48371	0	7	7	7	Early
FR682468.1	5604	5732	+	ASFV_G_ACD_00070	5529	5529	0	75	75	75	Early
FR682468.1	16625	16753	+	ASFV_G_ACD_00290	16562	16562	0	63	63	63	Early
FR682468.1	16962	17054	-	ASFV_G_ACD_00300	17065	17065	0	11	11	11	Early
FR682468.1	18888	19001	+	ASFV_G_ACD_00330	18745	18745	0	143	143	143	Early
FR682468.1	18994	19128	+	ASFV_G_ACD_00350	18963	18963	0	31	31	31	Early
FR682468.1	47022	47174	-	ASFV_G_ACD_00600	47268	47268	0	94	94	94	Early
FR682468.1	184949	185080	-	ASFV_G_ACD_01940	185090	185090	0	10	10	10	Early
FR682468.1	188730	188876	-	ASFV_G_ACD_01990	188882	188882	0	6	6	6	Early
FR682468.1	108114	108905	+	B263R	108094	108094	0	20	20	20	Early
FR682468.1	84225	84542	+	C122R	84144	84144	0	81	81	81	Early
FR682468.1	124770	125351	-	CP204L	125357	125357	0	6	6	6	Early
FR682468.1	127285	128208	+	CP312R	127275	127275	0	10	10	10	Early
FR682468.1	137489	138241	+	D250R	137450	137450	0	39	39	39	Early
FR682468.1	139190	140209	-	D339L	140215	140215	0	6	6	6	Early
FR682468.1	175697	176413	-	DP238L	176469	176469	0	56	56	56	Early
FR682468.1	188997	189161	+	DP60R	188981	188981	0	16	16	16	Early
FR682468.1	184331	184621	+	DP96R	184322	184322	0	9	9	9	Early
FR682468.1	166472	166969	+	E165R	166469	166469	0	3	3	3	Early
FR682468.1	72823	73299	+	EP153R	72658	72658	0	165	165	165	Early
FR682468.1	168177	169067	+	EP296R	168170	168170	0	7	7	7	Early
FR682468.1	59853	62999	-	F1055L	63002	63002	0	3	3	3	Early
FR682468.1	55975	56958	-	F334L	56962	56962	0	4	4	4	Early
FR682468.1	57000	59336	+	F778R	56984	56984	0	16	16	16	Early
FR682468.1	113182	116790	+	G1211R	113175	113175	0	7	7	7	Early
FR682468.1	173792	174430	-	I215L	174490	174490	0	60	60	60	Early
FR682468.1	169605	170444	-	I267L	170554	170554	0	110	110	110	Early
FR682468.1	172087	172305	+	I73R	172043	172043	0	44	44	44	Early
FR682468.1	181698	181988	+	I9R	181692	181675	-17	6	23	23	Early
FR682468.1	64128	64718	+	K196R	64117	64117	0	11	11	11	Early
FR682468.1	63193	63810	+	K205R	63167	63183	16	26	10	26	Early
FR682468.1	3917	4162	-	L83L	4168	4168	0	6	6	6	Early
FR682468.1	79483	80829	+	M448R	79476	79476	0	7	7	7	Early
FR682468.1	14237	15061	-	MGF_110-13L	15081	15081	0	20	20	20	Early
FR682468.1	13253	13603	-	MGF_110-14L	13623	13623	0	20	20	20	Early
FR682468.1	6040	6684	-	MGF_110-1L	6805	6805	0	121	121	121	Early
FR682468.1	6864	7178	-	MGF_110-2L	7189	7189	0	11	11	11	Early
